lap_num,b_t_delta,related_b,related_T
1,1.229402780532837,1,1
1,2.5532338619232178,2,2
2,1.8903777599334717,1,1
2,2.46596097946167,2,2
3,1.5870413780212402,1,1
3,2.4319896697998047,2,2
4,1.5934560298919678,1,1
4,2.4716577529907227,2,2
5,1.4163479804992676,1,1
5,2.320727825164795,2,2
6,1.1315715312957764,1,1
6,2.590843677520752,2,2
7,1.5880088806152344,1,1
7,2.369156837463379,2,2
8,1.605426549911499,1,1
8,2.735373020172119,2,2
9,1.7414557933807373,1,1
9,2.4673750400543213,2,2
10,1.9032089710235596,1,1
10,2.5597712993621826,2,2
11,1.4900100231170654,1,1
11,2.7089343070983887,2,2
12,1.334216833114624,1,1
12,2.2954657077789307,2,2
