lap_num,b_t_delta,related_b,related_T
1,1.6160471439361572,1,1
1,3.0100529193878174,2,2
2,0.9921829700469971,1,1
3,1.0975801944732666,1,1
3,2.7350897789001465,2,2
4,1.2195510864257812,1,1
4,2.0437419414520264,2,2
5,1.5193328857421875,1,1
5,3.0356717109680176,2,2
6,1.114410638809204,1,1
6,2.5244994163513184,2,2
7,1.1045451164245605,1,1
7,2.683706045150757,2,2
8,1.114415168762207,1,1
8,2.3730225563049316,2,2
9,1.0357439517974854,1,1
9,2.585441827774048,2,2
10,0.9543261528015137,1,1
11,0.9777004718780518,1,1
11,2.127987861633301,2,2
12,1.030689001083374,1,1
12,2.7161760330200195,2,2
13,1.5264620780944824,1,1
13,1.9940736293792725,2,2
14,1.6163814067840576,1,1
14,2.246284008026123,2,2
