lap_num,b_t_delta,related_b,related_T
1,1.2385025024414062,1,1
1,2.766718864440918,2,2
2,1.2797019481658936,1,1
2,2.5599629878997803,2,2
3,1.1688475608825684,1,1
3,2.491518020629883,2,2
4,1.2504067420959473,1,1
4,2.227822780609131,2,2
5,1.5032804012298584,1,1
5,2.4062910079956055,2,2
6,1.7478229999542236,1,1
6,1.6436479091644287,2,2
7,0.9866783618927002,1,1
7,2.4680395126342773,2,2
8,1.5978820323944092,1,1
8,2.705145835876465,2,2
9,1.335310697555542,1,1
9,2.3647818565368652,2,2
10,1.6127707958221436,1,1
10,2.454888343811035,2,2
11,1.547778844833374,1,1
11,2.373854398727417,2,2
12,1.2903401851654053,1,1
12,2.3374626636505127,2,2
13,1.790238618850708,1,1
13,2.3292956352233887,2,2
14,1.5268158912658691,1,1
14,2.6390583515167236,2,2
15,1.560410499572754,1,1
15,2.179224967956543,2,2
