lap_num,b_t_delta,related_b,related_T
1,1.671717882156372,1,1
1,2.6805176734924316,2,2
2,1.3937137126922607,1,1
2,2.2102086544036865,2,2
3,1.885143518447876,1,1
3,2.715078830718994,2,2
4,1.4554038047790527,1,1
4,2.6404166221618652,2,2
5,1.3324203491210938,1,1
5,2.427729368209839,2,2
6,1.2578248977661133,1,1
6,2.6757559776306152,2,2
7,1.145526647567749,1,1
7,2.372652769088745,2,2
8,1.1306612491607666,1,1
8,2.4808003902435303,2,2
9,1.2671089172363281,1,1
9,2.456205129623413,2,2
10,1.204782485961914,1,1
10,2.7582132816314697,2,2
