lap_num,b_t_delta,related_b,related_T
1,1.3855092525482178,1,1
1,2.775134801864624,2,2
2,1.6400909423828125,1,1
2,2.2951948642730713,2,2
3,1.5599353313446045,1,1
3,2.667314291000366,2,2
4,1.7004587650299072,1,1
4,2.7553088665008545,2,2
5,1.2710957527160645,1,1
5,2.26090931892395,2,2
6,1.5015475749969482,1,1
6,2.2987310886383057,2,2
7,1.4964873790740967,1,1
7,2.1202924251556396,2,2
8,1.4669365882873535,1,1
8,2.6440556049346924,2,2
9,1.689079761505127,1,1
9,2.5271549224853516,2,2
10,1.5137939453125,1,1
10,2.573014974594116,2,2
11,1.2320637702941895,1,1
11,2.170685052871704,2,2
12,1.9274787902832031,1,1
12,2.1662251949310303,2,2
13,1.1160311698913574,1,1
13,2.5233304500579834,2,2
14,0.974686861038208,1,1
14,2.4970080852508545,2,2
15,1.6087818145751953,1,1
15,2.438786745071411,2,2
