lap_num,b_t_delta,related_b,related_T
1,1.4306564331054688,1,1
1,2.541292428970337,2,2
2,1.3484349250793457,1,1
2,2.234961748123169,2,2
3,1.378577470779419,1,1
3,2.3861327171325684,2,2
4,1.0863780975341797,1,1
4,2.395291328430176,2,2
5,1.7046334743499756,1,1
5,2.3451573848724365,2,2
6,1.100811243057251,1,1
6,2.4422802925109863,2,2
7,1.0080933570861816,1,1
8,1.529008388519287,1,1
8,2.4358537197113037,2,2
9,1.3910863399505615,1,1
9,2.345015048980713,2,2
10,1.5470032691955566,1,1
10,2.1123170852661133,2,2
