lap_num,b_t_delta,related_b,related_T
1,1.6723501682281494,1,1
1,2.88223934173584,2,2
2,1.6700439453125,1,1
2,2.3738913536071777,2,2
3,1.6488652229309082,1,1
3,2.1197574138641357,2,2
4,1.5915112495422363,1,1
4,2.4379634857177734,2,2
5,1.705556869506836,1,1
5,2.048035144805908,2,2
6,1.6020493507385254,1,1
6,2.2877655029296875,2,2
7,1.6713957786560059,1,1
7,2.3913700580596924,2,2
8,1.4910786151885986,1,1
8,2.784268379211426,2,2
9,1.2692794799804688,1,1
9,2.403383493423462,2,2
10,1.1983094215393066,1,1
10,2.462691307067871,2,2
11,1.6282947063446045,1,1
11,2.14996600151062,2,2
12,1.8924837112426758,1,1
12,2.247154951095581,2,2
13,1.2890520095825195,1,1
13,2.515150547027588,2,2
14,1.0730514526367188,1,1
14,2.4063990116119385,2,2
15,1.5354046821594238,1,1
15,2.492844581604004,2,2
