lap_num,b_t_delta,related_b,related_T
1,1.135148286819458,1,1
1,1.8459382057189941,2,2
2,1.084770917892456,1,1
2,1.9252712726593018,2,2
3,1.129957914352417,1,1
3,2.5769708156585693,2,2
4,1.3103950023651123,1,1
5,1.365225076675415,1,1
5,2.3408846855163574,2,2
6,1.597193956375122,1,1
6,2.3816933631896973,2,2
7,1.1274709701538086,1,1
7,2.05104398727417,2,2
8,1.0312378406524658,1,1
8,2.451707601547241,2,2
9,2.0053577423095703,1,1
9,2.4931750297546387,2,2
10,1.192399024963379,1,1
10,1.9706494808197021,2,2
11,1.3031864166259766,1,1
11,2.5662388801574707,2,2
12,1.080779790878296,1,1
12,2.6297497749328613,2,2
13,1.1090903282165527,1,1
13,1.9718570709228516,2,2
14,2.15435528755188,1,1
14,1.9005639553070068,2,2
