lap_num,b_t_delta,related_b,related_T
1,1.2924492359161377,1,1
1,3.130354404449463,2,2
2,1.0959091186523438,1,1
2,2.0915908813476562,2,2
3,1.1870827674865723,1,1
3,2.9202165603637695,2,2
4,1.6241118907928467,1,1
4,2.529339075088501,2,2
5,1.0587608814239502,1,1
5,2.8473947048187256,2,2
6,1.184779167175293,1,1
6,2.9491653442382812,2,2
7,1.6503453254699707,1,1
7,2.992475986480713,2,2
8,1.7128939628601074,1,1
8,2.634553909301758,2,2
9,1.0697550773620605,1,1
10,1.1617155075073242,1,1
10,2.3542098999023438,2,2
