lap_num,b_t_delta,related_b,related_T
1,1.3031136989593506,1,1
1,1.9885492324829102,2,2
2,1.0937678813934326,1,1
2,2.34713077545166,2,2
3,1.9040696620941162,1,1
3,2.0202112197875977,2,2
4,1.8130121231079102,1,1
4,2.5484938621520996,2,2
5,1.3331263065338135,1,1
5,2.552823305130005,2,2
6,1.5719232559204102,1,1
6,2.2647488117218018,2,2
7,1.6982481479644775,1,1
7,2.7245278358459473,2,2
7,0.5858554840087891,3,3
8,1.554389238357544,1,1
8,2.588992118835449,2,2
9,1.875321865081787,1,1
9,2.3951878547668457,2,2
10,1.9607179164886475,1,1
10,2.572036027908325,2,2
